Plot_ID,Soil_Type,Rainfall_mm,Irrigation_liters_ha,Fertilizer_kg_ha,Temperature_C,Water_Usage_liters_ha,Yield_tons_ha
P122,Clayey,496,1690,318,28,2186,60
P123,Sandy,810,1226,269,32,2036,59
P124,Clayey,688,1804,276,33,2492,75
P125,Clayey,653,820,332,27,1473,51
P126,Loamy,595,1206,165,31,1801,51
P127,Clayey,997,1418,211,33,2415,69
P128,Loamy,921,1814,262,28,2735,79
P129,Clayey,916,1135,325,34,2051,69
P130,Sandy,1034,1940,307,27,2974,82
P131,Clayey,517,1947,161,29,2464,56
P132,Loamy,558,1198,184,25,1756,46
P133,Loamy,627,1592,160,27,2219,58
P134,Sandy,615,1514,213,32,2129,52
P135,Clayey,1095,850,199,32,1945,58
P136,Clayey,414,1123,298,28,1537,50
P137,Sandy,556,1588,218,26,2144,65
P138,Clayey,1047,940,197,32,1987,59
P139,Clayey,660,1269,169,32,1929,49
P140,Loamy,556,1586,250,34,2142,59
P141,Clayey,446,2157,344,28,2603,68
P142,Clayey,723,1763,321,27,2486,73
P143,Sandy,1084,1807,310,26,2891,86
P144,Sandy,529,1172,338,33,1701,54
P145,Loamy,810,1293,286,25,2103,68
P146,Clayey,494,1550,217,31,2044,51
P147,Clayey,1026,1979,184,29,3005,84
P148,Clayey,691,1090,214,32,1781,60
P149,Loamy,682,1967,157,28,2649,59
P150,Loamy,468,905,194,31,1373,34
P151,Sandy,1059,1469,236,29,2528,72
P152,Loamy,410,801,324,29,1211,42
P153,Clayey,653,1388,317,33,2041,70
P154,Clayey,949,1443,225,33,2392,67
P155,Loamy,533,889,331,33,1422,54
P156,Clayey,422,2168,225,30,2590,56
P157,Clayey,745,1149,323,30,1894,64
P158,Loamy,701,2086,196,29,2787,68
P159,Loamy,762,2174,164,33,2936,68
P160,Clayey,795,1931,254,34,2726,70
P161,Clayey,617,1862,296,32,2479,61
P162,Clayey,540,1708,175,31,2248,59
P163,Sandy,1015,958,201,31,1973,59
P164,Sandy,609,1758,242,30,2367,65
P165,Sandy,1022,1111,299,29,2133,71
P166,Loamy,1015,2064,170,28,3079,87
P167,Sandy,1082,1244,200,27,2326,66
P168,Loamy,859,1097,187,27,1956,59
P169,Loamy,755,1751,169,30,2506,66
P170,Sandy,723,835,306,28,1558,55
P171,Sandy,532,1907,328,30,2439,71
P172,Sandy,526,1995,281,27,2521,78
P173,Clayey,505,2199,204,28,2704,67
P174,Sandy,1003,2185,348,33,3188,81
P175,Clayey,777,1358,241,29,2135,58
P176,Loamy,450,1690,177,31,2140,58
P177,Clayey,428,940,153,34,1368,36
P178,Sandy,861,1686,299,26,2547,73
P179,Loamy,695,1941,225,29,2636,65
P180,Loamy,696,2100,322,33,2796,77
P181,Loamy,806,1525,216,27,2331,69
P182,Clayey,1012,2043,235,33,3055,81
P183,Sandy,804,1849,343,30,2653,75
P184,Loamy,745,1320,311,28,2065,65
P185,Loamy,1021,809,240,31,1830,58
P186,Loamy,819,1783,332,32,2602,75
P187,Clayey,581,1177,254,30,1758,46
P188,Clayey,400,1481,150,29,1881,49
P189,Sandy,966,1383,221,30,2349,64
P190,Clayey,770,951,236,29,1721,58
P191,Loamy,1060,1519,315,32,2579,76
P192,Sandy,830,1872,155,25,2702,75
P193,Loamy,708,1977,302,31,2685,72
P194,Loamy,536,1658,294,34,2194,59
P195,Clayey,601,2116,210,34,2717,75
P196,Sandy,835,849,161,26,1684,53
P197,Clayey,712,1463,155,33,2175,52
P198,Clayey,516,1330,176,25,1846,56
P199,Sandy,1065,1883,285,34,2948,78
P200,Loamy,974,1990,273,30,2964,82
P201,Loamy,643,2025,255,33,2668,79
P202,Sandy,936,1656,342,25,2592,72
P203,Loamy,1001,945,334,28,1946,64
P204,Sandy,474,1714,242,28,2188,62
P205,Sandy,785,1792,258,33,2577,73
P206,Clayey,609,1041,248,29,1650,44
P207,Sandy,874,1380,317,29,2254,61
P208,Clayey,817,1486,291,30,2303,73
P209,Loamy,746,1282,184,25,2028,55
P210,Loamy,928,1931,325,25,2859,80
P211,Loamy,1039,2049,233,33,3088,89
P212,Loamy,578,1472,205,27,2050,57
P213,Clayey,581,1430,326,28,2011,62
P214,Loamy,1063,1460,290,25,2523,76
P215,Sandy,424,1461,338,33,1885,50
P216,Sandy,579,1604,198,32,2183,60
P217,Sandy,900,1218,195,26,2118,64
P218,Clayey,560,1787,262,32,2347,64
P219,Loamy,576,1983,339,31,2559,71
P220,Loamy,684,1449,285,30,2133,61
P221,Loamy,462,1768,192,25,2230,64
P222,Clayey,1061,1389,297,31,2450,72
P223,Sandy,1065,1900,273,34,2965,80
P224,Sandy,555,1308,246,31,1863,56
P225,Loamy,868,1240,239,33,2108,61
P226,Sandy,448,2077,188,25,2525,74
P227,Sandy,483,1720,234,26,2203,52
P228,Clayey,760,1569,326,33,2329,69
P229,Clayey,1088,2143,341,33,3231,86
P230,Clayey,547,1062,211,30,1609,42
P231,Clayey,1029,2197,255,30,3226,84
P232,Loamy,741,1436,256,28,2177,64
P233,Clayey,875,1990,203,28,2865,76
P234,Sandy,462,1258,275,29,1720,44
P235,Loamy,759,1798,158,27,2557,64
P236,Sandy,960,2103,237,25,3063,85
P237,Sandy,726,1499,186,25,2225,58
P238,Sandy,540,1101,198,31,1641,41
P239,Clayey,614,2041,190,25,2655,58
P240,Clayey,834,1925,166,25,2759,70
P241,Loamy,717,1353,237,27,2070,55
P242,Loamy,431,1087,170,34,1518,35
P243,Clayey,1069,1990,200,28,3059,80
P244,Sandy,684,1420,208,28,2104,56
P245,Loamy,704,1805,316,26,2509,68
P246,Clayey,828,835,332,25,1663,49
P247,Clayey,876,1543,190,27,2419,68
P248,Clayey,685,1152,188,28,1837,56
P249,Sandy,543,872,290,27,1415,46
P250,Clayey,823,1447,341,32,2270,67
P251,Clayey,418,2176,160,34,2594,61
P252,Clayey,417,1893,296,25,2310,74
P253,Clayey,989,1224,288,26,2213,61
P254,Loamy,770,1798,226,31,2568,66
P255,Loamy,574,1507,276,28,2081,52
P256,Clayey,593,1360,195,32,1953,54
P257,Sandy,901,1627,194,27,2528,69
P258,Loamy,512,1755,150,30,2267,57
P259,Clayey,513,1316,317,33,1829,55
P260,Loamy,621,1227,257,25,1848,62
P261,Loamy,1077,959,168,25,2036,64
P262,Sandy,1043,948,225,32,1991,63
P263,Clayey,663,1575,221,27,2238,57
P264,Clayey,454,2053,349,29,2507,77
P265,Sandy,1042,866,338,25,1908,63
P266,Sandy,857,1813,258,29,2670,71
P267,Clayey,561,1180,161,30,1741,48
P268,Clayey,779,857,338,32,1636,56
P269,Sandy,486,2082,310,27,2568,66
P270,Loamy,454,1141,194,27,1595,45
P271,Loamy,875,1953,239,34,2828,81
P272,Sandy,577,1526,252,33,2103,50
P273,Loamy,790,1995,346,28,2785,88
P274,Sandy,748,1569,157,28,2317,60
P275,Loamy,407,1413,302,31,1820,42
P276,Loamy,712,2032,240,26,2744,68
P277,Clayey,842,1153,323,32,1995,57
P278,Clayey,727,915,236,30,1642,47
P279,Loamy,453,2087,307,27,2540,70
P280,Loamy,638,1461,324,33,2099,48
P281,Clayey,628,1252,326,29,1880,60
P282,Clayey,978,1086,324,32,2064,59
P283,Clayey,450,2126,233,31,2576,73
P284,Sandy,1008,1816,231,32,2824,74
P285,Loamy,1003,1110,295,31,2113,70
P286,Clayey,663,1007,343,27,1670,63
P287,Loamy,817,1417,217,26,2234,70
P288,Sandy,495,1245,310,31,1740,50
P289,Sandy,487,1469,276,27,1956,55
P290,Clayey,477,1432,313,27,1909,57
P291,Sandy,687,854,231,26,1541,53
P292,Loamy,519,1711,296,28,2230,62
P293,Clayey,890,1835,305,32,2725,76
P294,Loamy,851,1456,317,25,2307,73
P295,Loamy,899,1779,233,25,2678,71
P296,Sandy,564,1314,262,29,1878,50
P297,Sandy,581,1036,225,29,1617,48
P298,Sandy,868,2102,271,25,2970,83
P299,Sandy,406,1147,292,30,1553,50
P300,Sandy,729,1426,190,25,2155,64
P301,Clayey,1072,1927,316,29,2999,80
P302,Loamy,550,1429,151,33,1979,46
P303,Loamy,484,2071,340,29,2555,67
P304,Loamy,546,1163,178,30,1709,54
P305,Loamy,1023,1120,254,32,2143,63
P306,Sandy,780,1085,343,25,1865,63
P307,Loamy,947,948,200,26,1895,58
P308,Clayey,684,1907,224,33,2591,63
P309,Clayey,1099,1205,159,27,2304,73
P310,Loamy,481,1777,291,30,2258,65
P311,Loamy,913,1255,200,29,2168,62
P312,Clayey,922,1599,267,26,2521,68
P313,Clayey,785,1984,270,31,2769,69
P314,Sandy,870,1812,188,28,2682,70
P315,Clayey,518,1583,177,25,2101,54
P316,Sandy,795,1259,152,28,2054,51
P317,Sandy,931,1537,233,30,2468,67
P318,Sandy,660,1308,347,31,1968,60
P319,Sandy,655,1280,304,31,1935,59
P320,Sandy,625,913,266,31,1538,46
P321,Loamy,452,1548,151,27,2000,47
P322,Clayey,899,1160,242,30,2059,56
P323,Sandy,905,1140,315,32,2045,69
P324,Clayey,763,1569,280,28,2332,62
P325,Clayey,679,1560,293,32,2239,66
P326,Sandy,992,1768,243,26,2760,80
P327,Loamy,557,1248,189,34,1805,47
P328,Sandy,1031,1634,151,33,2665,77
P329,Loamy,458,2003,230,33,2461,65
P330,Clayey,527,2019,318,32,2546,79
P331,Loamy,514,1110,161,34,1624,39
P332,Loamy,608,1061,312,34,1669,48
P333,Loamy,925,1205,214,25,2130,66
P334,Clayey,920,942,204,26,1862,56
P335,Clayey,951,1141,194,30,2092,68
P336,Loamy,636,2139,250,34,2775,73
P337,Loamy,680,1924,211,29,2604,63
P338,Sandy,758,1043,198,33,1801,42
P339,Loamy,600,1289,276,29,1889,56
P340,Sandy,677,811,302,26,1488,52
P341,Loamy,634,2062,172,34,2696,67
P342,Sandy,893,1360,301,28,2253,75
P343,Clayey,403,841,187,33,1244,41
P344,Loamy,1065,1477,177,25,2542,68
P345,Loamy,841,1393,170,25,2234,56
P346,Loamy,428,1981,331,31,2409,61
P347,Loamy,508,2039,256,27,2547,65
P348,Sandy,1009,933,295,34,1942,58
P349,Loamy,474,1890,313,26,2364,70
P350,Clayey,545,1830,248,33,2375,58
P351,Clayey,527,1747,322,27,2274,68
P352,Loamy,441,872,268,26,1313,46
P353,Clayey,755,1198,222,32,1953,56
P354,Loamy,440,1377,330,34,1817,48
P355,Loamy,433,1658,271,30,2091,61
P356,Clayey,416,929,179,30,1345,49
P357,Loamy,1076,1730,337,34,2806,81
P358,Clayey,552,2029,257,31,2581,53
P359,Sandy,777,1065,247,31,1842,61
P360,Loamy,987,1592,181,30,2579,65
P361,Sandy,998,1052,344,28,2050,79
P362,Clayey,1028,1621,344,33,2649,78
P363,Sandy,741,2112,305,30,2853,70
P364,Sandy,426,963,321,28,1389,37
P365,Clayey,686,894,228,27,1580,58
P366,Sandy,1045,1632,190,28,2677,79
P367,Sandy,567,1933,212,27,2500,77
P368,Clayey,1009,1135,172,26,2144,62
P369,Sandy,667,1621,253,29,2288,64
P370,Clayey,854,1037,224,26,1891,56
P371,Sandy,1084,1180,197,30,2264,61
P372,Clayey,800,1698,309,27,2498,71
P373,Clayey,875,1282,206,30,2157,62
P374,Sandy,1033,1701,267,34,2734,71
P375,Sandy,957,1848,249,33,2805,67
P376,Sandy,975,1940,273,25,2915,83
P377,Loamy,529,1281,310,30,1810,51
P378,Loamy,762,1716,301,33,2478,53
P379,Loamy,1092,1793,316,28,2885,87
P380,Clayey,691,1763,183,26,2454,60
P381,Sandy,770,1336,333,28,2106,69
P382,Clayey,428,1902,305,25,2330,70
P383,Loamy,548,1996,314,27,2544,73
P384,Sandy,695,1835,156,34,2530,74
P385,Clayey,410,927,345,33,1337,44
P386,Sandy,911,891,314,34,1802,56
P387,Clayey,1075,1342,205,29,2417,72
P388,Sandy,512,1645,214,30,2157,57
P389,Loamy,586,1788,342,27,2374,76
P390,Loamy,626,1246,196,29,1872,46
P391,Sandy,709,1189,297,32,1898,51
P392,Clayey,497,1471,168,30,1968,55
P393,Loamy,454,842,306,28,1296,39
P394,Loamy,1022,1053,337,26,2075,72
P395,Loamy,1063,1953,295,33,3016,85
P396,Sandy,805,1883,312,25,2688,75
P397,Sandy,468,1462,320,25,1930,62
P398,Clayey,711,1266,275,28,1977,54
P399,Clayey,688,1086,288,31,1774,50
P400,Clayey,947,1810,198,25,2757,74
P401,Sandy,547,1577,262,33,2124,58
P402,Sandy,866,1144,187,28,2010,56
P403,Clayey,643,1441,213,27,2084,61
P404,Clayey,890,1181,218,25,2071,64
P405,Sandy,906,1489,285,34,2395,75
P406,Clayey,764,2076,311,28,2840,79
P407,Loamy,881,1879,325,33,2760,83
P408,Sandy,600,1256,265,34,1856,57
P409,Clayey,553,1782,333,30,2335,79
P410,Sandy,849,882,214,30,1731,52
P411,Loamy,900,1922,180,25,2822,73
P412,Sandy,472,948,281,34,1420,50
P413,Sandy,695,2152,262,26,2847,79
P414,Sandy,416,1979,258,30,2395,70
P415,Sandy,1040,989,327,26,2029,71
P416,Loamy,616,1682,218,27,2298,52
P417,Sandy,460,1062,307,28,1522,52
P418,Sandy,1015,1903,269,29,2918,83
P419,Clayey,441,1199,237,33,1640,47
P420,Sandy,424,1563,336,28,1987,60
P421,Clayey,438,1408,216,33,1846,41
P422,Loamy,530,2083,224,34,2613,70
P423,Loamy,897,1584,194,27,2481,70
P424,Loamy,628,900,153,32,1528,47
P425,Loamy,507,2182,303,25,2689,67
P426,Clayey,571,1619,304,33,2190,64
P427,Sandy,834,2044,323,33,2878,78
P428,Loamy,877,1619,256,34,2496,69
P429,Sandy,501,1219,341,26,1720,56
P430,Clayey,923,923,200,28,1846,58
P431,Clayey,674,1221,199,32,1895,51
P432,Clayey,1012,2054,155,31,3066,72
P433,Loamy,443,1886,208,25,2329,63
P434,Sandy,416,1567,274,29,1983,55
P435,Sandy,729,1282,292,31,2011,60
P436,Sandy,968,1318,179,28,2286,48
P437,Clayey,896,954,319,25,1850,66
P438,Loamy,411,891,271,33,1302,39
P439,Clayey,717,1781,274,29,2498,63
P440,Clayey,991,1254,186,26,2245,69
P441,Sandy,615,1397,319,32,2012,63
P442,Clayey,738,1309,273,26,2047,61
P443,Sandy,1060,2006,250,27,3066,79
P444,Loamy,480,1185,184,34,1665,45
P445,Sandy,884,1204,236,25,2088,64
P446,Loamy,773,1045,283,26,1818,63
P447,Sandy,599,1541,345,31,2140,62
P448,Clayey,936,1460,167,34,2396,68
P449,Clayey,865,1449,262,26,2314,66
P450,Loamy,488,1700,178,30,2188,49
P451,Loamy,667,864,226,27,1531,43
P452,Loamy,1054,1836,208,28,2890,78
P453,Sandy,970,1012,324,32,1982,63
P454,Sandy,888,1041,275,27,1929,63
P455,Loamy,937,1292,294,34,2229,65
P456,Clayey,446,2036,258,30,2482,70
P457,Sandy,687,1137,171,25,1824,52
P458,Sandy,415,972,217,31,1387,31
P459,Sandy,800,1471,218,32,2271,61
P460,Loamy,485,963,314,32,1448,37
P461,Loamy,649,1264,198,27,1913,56
P462,Loamy,790,1794,290,34,2584,76
P463,Loamy,734,1296,311,25,2030,60
P464,Loamy,1028,1499,258,33,2527,78
P465,Clayey,918,1194,235,30,2112,66
P466,Clayey,536,1502,202,33,2038,59
P467,Loamy,1087,1107,272,31,2194,67
P468,Sandy,897,982,236,25,1879,54
P469,Loamy,876,1428,328,25,2304,76
P470,Clayey,993,1309,280,30,2302,65
P471,Clayey,622,1345,191,29,1967,55
P472,Sandy,771,1423,247,33,2194,60
P473,Clayey,801,1393,309,26,2194,73
P474,Loamy,842,1543,258,32,2385,70
P475,Sandy,889,2050,200,29,2939,76
P476,Loamy,1014,1353,234,26,2367,60
P477,Loamy,672,820,323,34,1492,46
P478,Sandy,925,1353,276,30,2278,71
P479,Loamy,558,1196,170,34,1754,47
P480,Clayey,551,1424,193,32,1975,45
P481,Loamy,1019,904,288,28,1923,54
P482,Sandy,587,991,252,26,1578,52
P483,Sandy,497,816,217,29,1313,36
P484,Sandy,530,1943,278,26,2473,64
P485,Loamy,570,1192,241,26,1762,57
P486,Sandy,582,1224,340,30,1806,63
P487,Sandy,763,928,173,34,1691,43
P488,Loamy,438,1953,274,33,2391,63
P489,Clayey,926,1371,290,28,2297,69
P490,Loamy,896,828,260,30,1724,54
P491,Sandy,915,1920,247,31,2835,76
P492,Sandy,748,1833,288,30,2581,76
P493,Loamy,796,1041,328,32,1837,55
P494,Clayey,560,1031,166,28,1591,38
P495,Sandy,415,1588,248,25,2003,66
P496,Sandy,892,2107,231,31,2999,84
P497,Sandy,825,1514,253,27,2339,62
P498,Loamy,507,1558,301,30,2065,61
P499,Sandy,849,1601,168,26,2450,71
P500,Clayey,710,1575,314,33,2285,69
P501,Sandy,569,1525,234,25,2094,63
P502,Sandy,945,999,157,30,1944,54
P503,Clayey,813,1744,177,30,2557,75
P504,Sandy,650,878,154,29,1528,45
P505,Loamy,540,1755,294,29,2295,62
P506,Loamy,673,1655,250,25,2328,71
P507,Loamy,815,1996,313,34,2811,77
P508,Clayey,1007,1266,267,29,2273,70
P509,Sandy,438,1380,296,26,1818,57
P510,Loamy,428,1739,213,31,2167,59
P511,Clayey,876,1248,240,27,2124,58
P512,Sandy,717,886,266,28,1603,45
P513,Clayey,644,900,247,27,1544,57
P514,Loamy,1096,1831,160,27,2927,79
P515,Loamy,671,1644,203,28,2315,67
P516,Loamy,839,2023,322,29,2862,72
P517,Clayey,638,886,196,25,1524,53
P518,Clayey,776,842,289,28,1618,51
P519,Loamy,665,1207,298,32,1872,52
P520,Clayey,758,1463,288,34,2221,63
P521,Loamy,739,1840,154,31,2579,60
P522,Loamy,788,947,333,33,1735,56
P523,Sandy,976,1076,169,29,2052,58
P524,Clayey,1088,1031,318,34,2119,71
P525,Loamy,402,1165,195,28,1567,52
P526,Loamy,828,2051,161,32,2879,79
P527,Clayey,541,1235,219,33,1776,38
P528,Sandy,775,1198,166,31,1973,49
P529,Sandy,1069,2034,264,31,3103,73
P530,Loamy,723,1298,296,29,2021,55
P531,Clayey,545,1339,303,28,1884,55
P532,Sandy,692,1362,197,34,2054,56
P533,Clayey,1064,1241,257,25,2305,68
P534,Clayey,831,2084,201,34,2915,71
P535,Loamy,984,1572,245,34,2556,71
P536,Sandy,798,1149,219,31,1947,47
P537,Loamy,743,2175,332,25,2918,79
P538,Sandy,539,1319,251,25,1858,54
P539,Sandy,586,2143,224,29,2729,70
P540,Sandy,460,937,310,33,1397,45
P541,Sandy,779,1791,339,30,2570,82
P542,Sandy,839,1167,300,27,2006,68
P543,Clayey,718,2043,292,27,2761,73
P544,Loamy,701,2160,304,31,2861,76
P545,Clayey,743,2046,341,30,2789,77
P546,Sandy,410,1159,328,33,1569,46
P547,Loamy,461,1720,330,30,2181,65
P548,Sandy,625,1128,231,29,1753,43
P549,Loamy,552,1761,241,34,2313,65
P550,Clayey,963,1262,328,31,2225,77
P551,Loamy,970,1745,324,25,2715,80
P552,Loamy,983,1762,153,31,2745,69
P553,Loamy,1059,1635,284,27,2694,79
P554,Loamy,974,968,258,33,1942,64
P555,Loamy,709,1016,312,30,1725,54
P556,Sandy,642,1177,197,33,1819,54
P557,Loamy,892,918,222,29,1810,58
P558,Loamy,765,989,221,31,1754,64
P559,Clayey,729,1566,265,28,2295,64
P560,Loamy,506,1169,322,31,1675,43
P561,Clayey,625,948,230,25,1573,43
P562,Sandy,617,1451,230,31,2068,57
P563,Loamy,905,1569,262,32,2474,74
P564,Clayey,658,1173,245,29,1831,51
P565,Clayey,916,1580,221,26,2496,69
P566,Sandy,453,959,296,29,1412,50
P567,Loamy,446,1150,212,30,1596,41
P568,Loamy,1088,2111,187,26,3199,82
P569,Clayey,920,2111,216,30,3031,73
P570,Loamy,498,1691,336,30,2189,70
P571,Clayey,419,2049,218,25,2468,73
P572,Loamy,972,1322,162,25,2294,57
P573,Clayey,889,1321,324,34,2210,65
P574,Loamy,818,1582,338,27,2400,80
P575,Sandy,1089,1072,180,34,2161,62
P576,Loamy,461,1735,263,34,2196,56
P577,Loamy,544,982,171,27,1526,37
P578,Sandy,615,1287,242,28,1902,62
P579,Loamy,402,1645,320,26,2047,63
P580,Sandy,559,923,216,33,1482,36
P581,Loamy,519,1784,203,34,2303,64
P582,Clayey,488,1589,287,31,2077,51
P583,Clayey,728,1213,191,31,1941,53
P584,Loamy,979,1995,213,30,2974,77
P585,Loamy,756,2111,275,27,2867,87
P586,Loamy,1009,1485,170,30,2494,66
P587,Clayey,666,912,343,32,1578,52
P588,Loamy,1016,1687,318,32,2703,71
P589,Clayey,722,921,301,33,1643,49
P590,Sandy,1034,2045,184,25,3079,78
P591,Clayey,940,838,333,25,1778,59
P592,Clayey,1048,1296,179,27,2344,66
P593,Sandy,594,1579,206,27,2173,48
P594,Clayey,731,2056,196,34,2787,62
P595,Loamy,569,1742,312,32,2311,64
P596,Loamy,920,948,168,34,1868,52
P597,Clayey,862,1821,263,25,2683,75
P598,Loamy,439,1460,157,26,1899,51
P599,Clayey,936,1101,175,26,2037,57
P600,Loamy,660,2183,262,27,2843,76
P601,Loamy,794,1037,220,30,1831,56
P602,Clayey,625,1446,179,25,2071,60
P603,Loamy,523,1462,284,26,1985,56
P604,Clayey,437,1035,216,25,1472,50
P605,Loamy,727,1002,214,29,1729,52
P606,Loamy,650,1055,185,31,1705,54
P607,Sandy,575,1397,174,32,1972,59
P608,Sandy,1001,1461,186,34,2462,58
P609,Clayey,853,1034,150,25,1887,50
P610,Sandy,436,2168,292,31,2604,73
P611,Clayey,715,1333,186,29,2048,48
P612,Sandy,1087,1659,290,34,2746,84
P613,Loamy,992,1569,285,25,2561,75
P614,Clayey,513,1340,282,27,1853,59
P615,Clayey,439,1012,337,31,1451,48
P616,Loamy,700,1262,277,34,1962,50
P617,Clayey,623,1235,276,25,1858,63
P618,Clayey,717,1082,150,31,1799,62
P619,Sandy,748,887,313,29,1635,52
P620,Clayey,514,1867,184,25,2381,61
P621,Loamy,1097,1260,343,25,2357,63
P622,Sandy,722,1077,340,25,1799,68
P623,Sandy,967,1220,253,33,2187,68
P624,Loamy,439,2176,172,27,2615,57
P625,Loamy,439,1495,158,29,1934,40
P626,Sandy,688,1314,183,34,2002,43
P627,Clayey,661,1502,323,33,2163,66
P628,Sandy,615,818,277,30,1433,51
P629,Loamy,546,822,153,33,1368,33
